0,1,2,3,4,5,6
1,Drake,131632.2,One Dance,4187.947666,male,R&B
2,Taylor Swift,123996.6,Cruel Summer,3327.732631,female,pop
3,The Weeknd,92827.6,Blinding Lights,5384.232397,male,pop
4,Justin Bieber,74219.3,Love Yourself,3173.204658,male,pop
5,Ariana Grande,65728.6,7 rings,2800.068256,female,pop
6,Travis Scott,63831.7,goosebumps,3115.433694,male,hip hop
7,Ed Sheeran,63433.9,Shape of You,4879.752432,male,pop
8,Eminem,63341.6,Without Me,3056.625933,male,hip hop
9,Kanye West,63161.3,Heartless,1973.836885,male,hip hop
10,Rihanna,58258.2,Umbrella,2207.964377,female,pop
